FS Gen,Pilot #,Event,Name,Country,City,State,Telephone,Email,Hours,Rating,FAI,DOB,Glider,Colors,Sponsor,FAI,Zero,IsPaid,URL
173,173,Race,Maisie Poole,England,Liverpool,England,01-345-678-90-90,maisie.poole@email.com,1500,P5,0,5/8/87,BGD CURE,white,,0,0,Pd,http://share.delorme.com/FakeURL
162,162,Race,Emilia Berry,USA,New York,NY,323-555-1212,emilia.berry@email.com,900+,P5,0,4/20/88,Gin Boomerang 11,Orange,Super Fly,"blah blah",0,Pd,http://share.findemespot.com/forgot-my-URL
501,501,Sprint,Mya Adams,USA,Provo,UT,435-555-1212,mya.adams@email.com,900,P4,0,12/12/74,Ozone Alpina 2,Blue/White/Blue,Pepsi RedBull,,0,Pd,http://bit.ly/bleepbloop
502,502,Sprint,Natasha Bridges,USA,Anytown,WA,970-555-1212,natasha.bridges@email.com,400,P3,0,3/10/94,Ozone Swift, Black purple blue and red,,,0,Pd,http://share.findmespot.com/something-something
233,233,Race,Reyna Burris,USA,Somewhere,CA,510-555-1212,reyna.burris@email.com,1000+,P4,0,4/13/82,Ozone mantra 6,red,,0,0,Pd,http://share.findmespot.com/short-urls-are-easier
0,250,Race,Frankie Davis,Canada,Nakusp,BC,202-555-1212,frankie@email.com,0,0,0,0,Ozone Alpina 2,Blue/Black/Green,0,0,0,0,http://share.findmespot.com/bloopbleep
214,214,Race,Raylee Turner,USA,Northern,CA,707-555-1212,rayleeraylee@email.com,0,P4,0,1/1/80,Little Cloud  Gyps,Blue,Ozone!,,0,Pd,http://share.findmespot.com/gonna-get-a-delorme
150,150,Race,Logan McKenna,USA,Reallyhigh,CO,970-555-1212,logan.mckenna@hotmail.com,2000,P4,0,10/15/89,Gin Boom 11,yellow,Best Friend's Name,0,0,Pd,https://share.delorme.com/JuliePG
507,507,Sprint,Reed Hart,USA,Midwest,KS,303-555-1212,reed.hart@junkmail.com,0,P4,0,12/2/83,Advance Sigma 10,Black/Blue/LimeGreen,Nice Sponsor,,0,Pd,http://share.findmespot.com/url-barf
546,546,Sprint,Eli Gray,USA,Ghost Town,NV,503-555-1212,eli.craycray@yahoo.com,0,P3,0,1/23/78,Ozone Delta 2,Blue/yellow,,,0,Pd,https://share.delorme.com/BleepBloop
